Station,Date,Year,SEASON,Avg_Soil_Water_Content,Hum_Avg
Regenerating forest,18-Aug-12,One,WET,0.309,100
Regenerating forest,19-Aug-12,One,WET,0.304,100
Regenerating forest,20-Aug-12,One,WET,0.305,99.997
Regenerating forest,21-Aug-12,One,WET,0.297,99.984
Regenerating forest,22-Aug-12,One,WET,0.304,100
Regenerating forest,23-Aug-12,One,WET,0.302,99.996
Regenerating forest,24-Aug-12,One,WET,0.304,99.565
Regenerating forest,25-Aug-12,One,WET,0.302,99.852
Regenerating forest,26-Aug-12,One,WET,0.297,99.493
Regenerating forest,27-Aug-12,One,WET,0.302,98.782
Regenerating forest,28-Aug-12,One,WET,0.3,98.983
Regenerating forest,29-Aug-12,One,WET,0.29,96.272
Regenerating forest,30-Aug-12,One,WET,0.288,98.632
Regenerating forest,31-Aug-12,One,WET,0.281,98.206
Mature forest,01-Feb-14,Two,DRY,NA,NA
Mature forest,02-Feb-14,Two,DRY,NA,NA
Mature forest,03-Feb-14,Two,DRY,NA,NA
Mature forest,04-Feb-14,Two,DRY,NA,NA
Mature forest,05-Feb-14,Two,DRY,NA,NA
Mature forest,06-Feb-14,Two,DRY,NA,NA
Mature forest,07-Feb-14,Two,DRY,NA,NA
Mature forest,08-Feb-14,Two,DRY,NA,NA
Mature forest,09-Feb-14,Two,DRY,NA,NA
Mature forest,10-Feb-14,Two,DRY,NA,NA
Mature forest,11-Feb-14,Two,DRY,NA,NA
Mature forest,12-Feb-14,Two,DRY,NA,NA
Mature forest,13-Feb-14,Two,DRY,NA,NA
Mature forest,14-Feb-14,Two,DRY,NA,NA
Mature forest,15-Feb-14,Two,DRY,NA,NA
Mature forest,16-Feb-14,Two,DRY,NA,NA
Mature forest,17-Feb-14,Two,DRY,NA,NA
Mature forest,18-Feb-14,Two,DRY,NA,NA
Mature forest,19-Feb-14,Two,DRY,NA,NA
Mature forest,20-Feb-14,Two,DRY,NA,NA
Mature forest,21-Feb-14,Two,DRY,NA,NA
Mature forest,22-Feb-14,Two,DRY,NA,NA
Mature forest,23-Feb-14,Two,DRY,NA,NA
Mature forest,24-Feb-14,Two,DRY,NA,NA
Mature forest,25-Feb-14,Two,DRY,NA,NA
Mature forest,26-Feb-14,Two,DRY,NA,NA
Mature forest,27-Feb-14,Two,DRY,NA,NA
Mature forest,28-Feb-14,Two,DRY,NA,NA
Mature forest,01-Mar-14,Two,DRY,NA,NA
Mature forest,02-Mar-14,Two,DRY,NA,NA
Mature forest,03-Mar-14,Two,DRY,NA,NA
Mature forest,04-Mar-14,Two,DRY,NA,NA
Mature forest,05-Mar-14,Two,DRY,NA,NA
Mature forest,06-Mar-14,Two,DRY,NA,NA
Mature forest,07-Mar-14,Two,DRY,-0.053,74.335
Mature forest,08-Mar-14,Two,DRY,-0.052,78.163
Mature forest,09-Mar-14,Two,DRY,-0.053,78.338
Mature forest,10-Mar-14,Two,DRY,-0.054,83.466
Mature forest,11-Mar-14,Two,DRY,-0.055,83.053
Mature forest,12-Mar-14,Two,DRY,-0.056,76.39
Mature forest,13-Mar-14,Two,DRY,-0.056,74.684
Mature forest,14-Mar-14,Two,DRY,-0.057,78.776
Mature forest,15-Mar-14,Two,DRY,-0.057,82.102
Mature forest,16-Mar-14,Two,DRY,-0.058,80.401
Mature forest,17-Mar-14,Two,DRY,-0.059,82.359
Mature forest,18-Mar-14,Two,DRY,-0.059,73.29
Mature forest,19-Mar-14,Two,DRY,-0.059,70.567
Mature forest,20-Mar-14,Two,DRY,-0.06,77.53
Mature forest,21-Mar-14,Two,DRY,-0.06,83.84
Mature forest,22-Mar-14,Two,DRY,-0.062,99.188
Mature forest,23-Mar-14,Two,DRY,-0.021,99.821
Mature forest,24-Mar-14,Two,DRY,0.039,97.93
Mature forest,25-Mar-14,Two,DRY,0.005,93.227
Mature forest,26-Mar-14,Two,DRY,-0.014,88.043
Mature forest,27-Mar-14,Two,DRY,-0.024,82.446
Mature forest,28-Mar-14,Two,DRY,-0.031,80.792
Mature forest,29-Mar-14,Two,DRY,-0.037,79.732
Mature forest,30-Mar-14,Two,DRY,-0.041,81.17
Mature forest,31-Mar-14,Two,DRY,-0.045,80.827
Mature forest,01-Apr-14,Two,DRY,-0.047,81.613
Mature forest,02-Apr-14,Two,DRY,-0.049,77.118
Mature forest,03-Apr-14,Two,DRY,-0.05,80.026
Mature forest,04-Apr-14,Two,DRY,-0.046,89.076
Mature forest,05-Apr-14,Two,DRY,0.035,95.177
Mature forest,06-Apr-14,Two,DRY,-0.009,91.299
Mature forest,07-Apr-14,Two,DRY,-0.025,90.775
Mature forest,08-Apr-14,Two,DRY,-0.037,90.843
Mature forest,09-Apr-14,Two,DRY,-0.044,89.723
Mature forest,10-Apr-14,Two,DRY,-0.047,85.629
Mature forest,11-Apr-14,Two,DRY,-0.05,88.316
Mature forest,12-Apr-14,Two,DRY,-0.051,83.866
Mature forest,13-Apr-14,Two,DRY,-0.053,79.413
Mature forest,14-Apr-14,Two,DRY,-0.054,84.319
Mature forest,15-Apr-14,Two,DRY,-0.056,80.165
Mature forest,16-Apr-14,Two,DRY,-0.056,76.672
Mature forest,17-Apr-14,Two,DRY,-0.057,93.069
Mature forest,18-Apr-14,Two,DRY,-0.058,80.09
Mature forest,19-Apr-14,Two,DRY,-0.059,79.07
Mature forest,20-Apr-14,Two,DRY,-0.06,80.748
Mature forest,21-Apr-14,Two,DRY,-0.062,84.207
Mature forest,22-Apr-14,Two,DRY,-0.063,80.334
Mature forest,23-Apr-14,Two,DRY,-0.061,83.691
Mature forest,24-Apr-14,Two,DRY,-0.06,85.67
Mature forest,25-Apr-14,Two,DRY,-0.063,86.189
Mature forest,26-Apr-14,Two,DRY,-0.064,90.612
Mature forest,27-Apr-14,Two,DRY,-0.063,83.644
Mature forest,28-Apr-14,Two,DRY,-0.064,93.004
Mature forest,29-Apr-14,Two,DRY,-0.064,96.336
Mature forest,30-Apr-14,Two,DRY,-0.065,93.132
Open land,01-Feb-14,Two,DRY,0.049,45.168
Open land,02-Feb-14,Two,DRY,0.044,40.512
Open land,03-Feb-14,Two,DRY,0.04,39.659
Open land,04-Feb-14,Two,DRY,0.036,48.851
Open land,05-Feb-14,Two,DRY,0.033,53.652
Open land,06-Feb-14,Two,DRY,0.029,58.643
Open land,07-Feb-14,Two,DRY,0.028,62.879
Open land,08-Feb-14,Two,DRY,0.025,61.367
Open land,09-Feb-14,Two,DRY,0.023,54.809
Open land,10-Feb-14,Two,DRY,0.021,57.034
Open land,11-Feb-14,Two,DRY,0.019,60.31
Open land,12-Feb-14,Two,DRY,0.016,60.243
Open land,13-Feb-14,Two,DRY,0.014,63.296
Open land,14-Feb-14,Two,DRY,0.012,60.034
Open land,15-Feb-14,Two,DRY,0.009,61.327
Open land,16-Feb-14,Two,DRY,0.007,58.101
Open land,17-Feb-14,Two,DRY,0.004,64.296
Open land,18-Feb-14,Two,DRY,0.003,67.49
Open land,19-Feb-14,Two,DRY,0.005,72.65
Open land,20-Feb-14,Two,DRY,0.007,78.712
Open land,21-Feb-14,Two,DRY,0.006,81.19
Open land,22-Feb-14,Two,DRY,0.005,70.938
Open land,23-Feb-14,Two,DRY,0.003,63.131
Open land,24-Feb-14,Two,DRY,-0.0008,54.659
Open land,25-Feb-14,Two,DRY,-0.003,52.945
Open land,26-Feb-14,Two,DRY,-0.005,53.905
Open land,27-Feb-14,Two,DRY,-0.007,50.384
Open land,28-Feb-14,Two,DRY,-0.01,43.172
Open land,01-Mar-14,Two,DRY,-0.012,43.016
Open land,02-Mar-14,Two,DRY,-0.01,38.845
Open land,03-Mar-14,Two,DRY,0.0009,44.688
Open land,04-Mar-14,Two,DRY,0.002,49.623
Open land,05-Mar-14,Two,DRY,0.002,45.402
Open land,06-Mar-14,Two,DRY,0.0004,43.924
Open land,07-Mar-14,Two,DRY,-0.0008,44.277
Open land,08-Mar-14,Two,DRY,-0.002,47.782
Open land,09-Mar-14,Two,DRY,-0.003,50.722
Open land,10-Mar-14,Two,DRY,-0.003,58.178
Open land,11-Mar-14,Two,DRY,-0.004,55.836
Open land,12-Mar-14,Two,DRY,-0.004,46.752
Open land,13-Mar-14,Two,DRY,-0.005,45.843
Open land,14-Mar-14,Two,DRY,-0.005,46.151
Open land,15-Mar-14,Two,DRY,-0.005,50.12
Open land,16-Mar-14,Two,DRY,-0.006,56.661
Open land,17-Mar-14,Two,DRY,-0.007,53.659
Open land,18-Mar-14,Two,DRY,-0.007,35.384
Open land,19-Mar-14,Two,DRY,-0.009,35.556
Open land,20-Mar-14,Two,DRY,-0.009,43.044
Open land,21-Mar-14,Two,DRY,-0.108,50.761
Open land,22-Mar-14,Two,DRY,NA,NA
Open land,23-Mar-14,Two,DRY,NA,NA
Open land,24-Mar-14,Two,DRY,NA,NA
Open land,25-Mar-14,Two,DRY,NA,NA
Open land,26-Mar-14,Two,DRY,NA,NA
Open land,27-Mar-14,Two,DRY,NA,NA
Open land,28-Mar-14,Two,DRY,NA,NA
Open land,29-Mar-14,Two,DRY,NA,NA
Open land,30-Mar-14,Two,DRY,NA,NA
Open land,31-Mar-14,Two,DRY,NA,NA
Open land,01-Apr-14,Two,DRY,NA,NA
Open land,02-Apr-14,Two,DRY,NA,NA
Open land,03-Apr-14,Two,DRY,NA,NA
Open land,04-Apr-14,Two,DRY,NA,NA
Open land,05-Apr-14,Two,DRY,NA,NA
Open land,06-Apr-14,Two,DRY,NA,NA
Open land,07-Apr-14,Two,DRY,0.135,57.58
Open land,08-Apr-14,Two,DRY,0.119,66.835
Open land,09-Apr-14,Two,DRY,0.107,68.178
Open land,10-Apr-14,Two,DRY,0.11,61.963
Open land,11-Apr-14,Two,DRY,0.113,63.335
Open land,12-Apr-14,Two,DRY,0.111,55.919
Open land,13-Apr-14,Two,DRY,0.104,55.015
Open land,14-Apr-14,Two,DRY,0.1,67.528
Open land,15-Apr-14,Two,DRY,0.094,45.356
Open land,16-Apr-14,Two,DRY,0.089,54.798
Open land,17-Apr-14,Two,DRY,0.08,58.296
Open land,18-Apr-14,Two,DRY,0.072,56.167
Open land,19-Apr-14,Two,DRY,0.063,53.107
Open land,20-Apr-14,Two,DRY,0.053,56.369
Open land,21-Apr-14,Two,DRY,0.045,65.625
Open land,22-Apr-14,Two,DRY,0.045,66.811
Open land,23-Apr-14,Two,DRY,0.069,65.614
Open land,24-Apr-14,Two,DRY,0.121,63.498
Open land,25-Apr-14,Two,DRY,0.106,68.028
Open land,26-Apr-14,Two,DRY,0.117,61.439
Open land,27-Apr-14,Two,DRY,0.104,62.345
Open land,28-Apr-14,Two,DRY,0.101,76.914
Open land,29-Apr-14,Two,DRY,0.128,84.696
Open land,30-Apr-14,Two,DRY,0.154,76.604
Regenerating forest,01-Feb-14,Two,DRY,0.082,43.159
Regenerating forest,02-Feb-14,Two,DRY,0.08,39.14
Regenerating forest,03-Feb-14,Two,DRY,0.081,38.248
Regenerating forest,04-Feb-14,Two,DRY,0.077,46.687
Regenerating forest,05-Feb-14,Two,DRY,0.074,51.875
Regenerating forest,06-Feb-14,Two,DRY,0.072,57.379
Regenerating forest,07-Feb-14,Two,DRY,0.069,61.705
Regenerating forest,08-Feb-14,Two,DRY,0.067,60.534
Regenerating forest,09-Feb-14,Two,DRY,0.065,54.443
Regenerating forest,10-Feb-14,Two,DRY,0.063,56.543
Regenerating forest,11-Feb-14,Two,DRY,0.061,59.783
Regenerating forest,12-Feb-14,Two,DRY,0.058,60.201
Regenerating forest,13-Feb-14,Two,DRY,0.056,62.535
Regenerating forest,14-Feb-14,Two,DRY,0.054,59.801
Regenerating forest,15-Feb-14,Two,DRY,0.052,61.028
Regenerating forest,16-Feb-14,Two,DRY,0.05,57.83
Regenerating forest,17-Feb-14,Two,DRY,0.047,64.442
Regenerating forest,18-Feb-14,Two,DRY,0.045,67.32
Regenerating forest,19-Feb-14,Two,DRY,0.045,71.658
Regenerating forest,20-Feb-14,Two,DRY,0.044,78.167
Regenerating forest,21-Feb-14,Two,DRY,0.045,80.311
Regenerating forest,22-Feb-14,Two,DRY,0.046,69.486
Regenerating forest,23-Feb-14,Two,DRY,0.044,61.78
Regenerating forest,24-Feb-14,Two,DRY,0.041,53.486
Regenerating forest,25-Feb-14,Two,DRY,0.04,51.807
Regenerating forest,26-Feb-14,Two,DRY,0.04,53.783
Regenerating forest,27-Feb-14,Two,DRY,0.037,49.256
Regenerating forest,28-Feb-14,Two,DRY,0.036,43.621
Regenerating forest,01-Mar-14,Two,DRY,NA,NA
Regenerating forest,02-Mar-14,Two,DRY,NA,NA
Regenerating forest,03-Mar-14,Two,DRY,NA,NA
Regenerating forest,04-Mar-14,Two,DRY,NA,NA
Regenerating forest,05-Mar-14,Two,DRY,NA,NA
Regenerating forest,06-Mar-14,Two,DRY,NA,NA
Regenerating forest,07-Mar-14,Two,DRY,NA,NA
Regenerating forest,08-Mar-14,Two,DRY,NA,NA
Regenerating forest,09-Mar-14,Two,DRY,NA,NA
Regenerating forest,10-Mar-14,Two,DRY,NA,NA
Regenerating forest,11-Mar-14,Two,DRY,NA,NA
Regenerating forest,12-Mar-14,Two,DRY,NA,NA
Regenerating forest,13-Mar-14,Two,DRY,NA,NA
Regenerating forest,14-Mar-14,Two,DRY,NA,NA
Regenerating forest,15-Mar-14,Two,DRY,NA,NA
Regenerating forest,16-Mar-14,Two,DRY,NA,NA
Regenerating forest,17-Mar-14,Two,DRY,NA,NA
Regenerating forest,18-Mar-14,Two,DRY,NA,NA
Regenerating forest,19-Mar-14,Two,DRY,NA,NA
Regenerating forest,20-Mar-14,Two,DRY,NA,NA
Regenerating forest,21-Mar-14,Two,DRY,NA,NA
Regenerating forest,22-Mar-14,Two,DRY,NA,NA
Regenerating forest,23-Mar-14,Two,DRY,NA,NA
Regenerating forest,24-Mar-14,Two,DRY,NA,NA
Regenerating forest,25-Mar-14,Two,DRY,NA,NA
Regenerating forest,26-Mar-14,Two,DRY,NA,NA
Regenerating forest,27-Mar-14,Two,DRY,NA,NA
Regenerating forest,28-Mar-14,Two,DRY,NA,NA
Regenerating forest,29-Mar-14,Two,DRY,NA,NA
Regenerating forest,30-Mar-14,Two,DRY,NA,NA
Regenerating forest,31-Mar-14,Two,DRY,NA,NA
Regenerating forest,01-Apr-14,Two,DRY,NA,NA
Regenerating forest,02-Apr-14,Two,DRY,NA,NA
Regenerating forest,03-Apr-14,Two,DRY,NA,NA
Regenerating forest,04-Apr-14,Two,DRY,NA,NA
Regenerating forest,05-Apr-14,Two,DRY,NA,NA
Regenerating forest,06-Apr-14,Two,DRY,NA,NA
Regenerating forest,07-Apr-14,Two,DRY,NA,NA
Regenerating forest,08-Apr-14,Two,DRY,NA,NA
Regenerating forest,09-Apr-14,Two,DRY,NA,NA
Regenerating forest,10-Apr-14,Two,DRY,NA,NA
Regenerating forest,11-Apr-14,Two,DRY,NA,NA
Regenerating forest,12-Apr-14,Two,DRY,NA,NA
Regenerating forest,13-Apr-14,Two,DRY,NA,NA
Regenerating forest,14-Apr-14,Two,DRY,NA,NA
Regenerating forest,15-Apr-14,Two,DRY,NA,NA
Regenerating forest,16-Apr-14,Two,DRY,NA,NA
Regenerating forest,17-Apr-14,Two,DRY,NA,NA
Regenerating forest,18-Apr-14,Two,DRY,NA,NA
Regenerating forest,19-Apr-14,Two,DRY,NA,NA
Regenerating forest,20-Apr-14,Two,DRY,NA,NA
Regenerating forest,21-Apr-14,Two,DRY,0.095,61.458
Regenerating forest,22-Apr-14,Two,DRY,0.099,68.176
Regenerating forest,23-Apr-14,Two,DRY,0.111,66.872
Regenerating forest,24-Apr-14,Two,DRY,0.144,64.844
Regenerating forest,25-Apr-14,Two,DRY,0.144,69.072
Regenerating forest,26-Apr-14,Two,DRY,0.151,61.602
Regenerating forest,27-Apr-14,Two,DRY,0.141,63.293
Regenerating forest,28-Apr-14,Two,DRY,0.135,75.506
Regenerating forest,29-Apr-14,Two,DRY,0.145,85.415
Regenerating forest,30-Apr-14,Two,DRY,0.152,76.86
Mature forest,01-Jun-14,Two,WET,0.025,95.595
Mature forest,02-Jun-14,Two,WET,0.008,95.909
Mature forest,03-Jun-14,Two,WET,-0.004,93.249
Mature forest,04-Jun-14,Two,WET,-0.015,92.221
Mature forest,05-Jun-14,Two,WET,-0.022,96.538
Mature forest,06-Jun-14,Two,WET,-0.024,98.265
Mature forest,07-Jun-14,Two,WET,-0.027,99.346
Mature forest,08-Jun-14,Two,WET,-0.022,99.989
Mature forest,09-Jun-14,Two,WET,0.004,100
Mature forest,10-Jun-14,Two,WET,0.008,100
Mature forest,11-Jun-14,Two,WET,0.011,99.678
Mature forest,12-Jun-14,Two,WET,0.093,100
Mature forest,13-Jun-14,Two,WET,0.132,100
Mature forest,14-Jun-14,Two,WET,0.133,100
Mature forest,15-Jun-14,Two,WET,0.1,100
Mature forest,16-Jun-14,Two,WET,0.082,99.901
Mature forest,17-Jun-14,Two,WET,0.066,99.636
Mature forest,18-Jun-14,Two,WET,0.056,99.959
Mature forest,19-Jun-14,Two,WET,0.064,100
Mature forest,20-Jun-14,Two,WET,0.057,99.933
Mature forest,21-Jun-14,Two,WET,0.045,99.592
Mature forest,22-Jun-14,Two,WET,0.035,98.98
Mature forest,23-Jun-14,Two,WET,0.027,98.771
Mature forest,24-Jun-14,Two,WET,0.021,99.924
Mature forest,25-Jun-14,Two,WET,0.018,99.552
Mature forest,26-Jun-14,Two,WET,0.014,99.821
Mature forest,27-Jun-14,Two,WET,0.01,97.87
Mature forest,28-Jun-14,Two,WET,0.006,97.799
Mature forest,29-Jun-14,Two,WET,0.003,99.998
Mature forest,30-Jun-14,Two,WET,0.06,100
Mature forest,01-Jul-14,Two,WET,0.076,100
Mature forest,02-Jul-14,Two,WET,0.058,100
Mature forest,03-Jul-14,Two,WET,0.071,100
Mature forest,04-Jul-14,Two,WET,0.137,100
Mature forest,05-Jul-14,Two,WET,0.099,100
Mature forest,06-Jul-14,Two,WET,0.076,100
Mature forest,07-Jul-14,Two,WET,0.12,100
Mature forest,08-Jul-14,Two,WET,0.093,100
Mature forest,09-Jul-14,Two,WET,0.098,100
Mature forest,10-Jul-14,Two,WET,0.088,100
Mature forest,11-Jul-14,Two,WET,0.085,100
Mature forest,12-Jul-14,Two,WET,0.122,100
Mature forest,13-Jul-14,Two,WET,0.097,100
Mature forest,14-Jul-14,Two,WET,0.094,99.956
Mature forest,15-Jul-14,Two,WET,0.104,99.995
Mature forest,16-Jul-14,Two,WET,0.099,100
Mature forest,17-Jul-14,Two,WET,0.094,100
Mature forest,18-Jul-14,Two,WET,0.086,100
Mature forest,19-Jul-14,Two,WET,0.123,100
Mature forest,20-Jul-14,Two,WET,0.103,100
Mature forest,21-Jul-14,Two,WET,0.127,100
Mature forest,22-Jul-14,Two,WET,0.117,100
Mature forest,23-Jul-14,Two,WET,0.089,100
Mature forest,24-Jul-14,Two,WET,0.116,100
Mature forest,25-Jul-14,Two,WET,0.112,100
Mature forest,26-Jul-14,Two,WET,0.099,100
Mature forest,27-Jul-14,Two,WET,0.111,100
Mature forest,28-Jul-14,Two,WET,0.099,100
Mature forest,29-Jul-14,Two,WET,0.096,100
Mature forest,30-Jul-14,Two,WET,0.099,100
Mature forest,31-Jul-14,Two,WET,0.093,100
Mature forest,01-Aug-14,Two,WET,0.094,100
Mature forest,02-Aug-14,Two,WET,0.102,100
Mature forest,03-Aug-14,Two,WET,0.11,100
Mature forest,04-Aug-14,Two,WET,0.113,100
Mature forest,05-Aug-14,Two,WET,0.084,100
Mature forest,06-Aug-14,Two,WET,0.085,100
Mature forest,07-Aug-14,Two,WET,0.099,100
Mature forest,08-Aug-14,Two,WET,0.108,100
Mature forest,09-Aug-14,Two,WET,0.09,100
Mature forest,10-Aug-14,Two,WET,0.115,100
Mature forest,11-Aug-14,Two,WET,0.106,100
Mature forest,12-Aug-14,Two,WET,0.09,100
Mature forest,13-Aug-14,Two,WET,0.095,100
Mature forest,14-Aug-14,Two,WET,0.109,100
Mature forest,15-Aug-14,Two,WET,0.1,100
Mature forest,16-Aug-14,Two,WET,0.106,100
Mature forest,17-Aug-14,Two,WET,0.083,100
Mature forest,18-Aug-14,Two,WET,0.072,100
Mature forest,19-Aug-14,Two,WET,0.081,100
Mature forest,20-Aug-14,Two,WET,0.095,100
Mature forest,21-Aug-14,Two,WET,0.093,100
Mature forest,22-Aug-14,Two,WET,0.076,100
Mature forest,23-Aug-14,Two,WET,0.066,100
Mature forest,24-Aug-14,Two,WET,0.06,100
Mature forest,25-Aug-14,Two,WET,0.075,100
Mature forest,26-Aug-14,Two,WET,0.091,100
Mature forest,27-Aug-14,Two,WET,0.09,100
Mature forest,28-Aug-14,Two,WET,0.074,99.717
Mature forest,29-Aug-14,Two,WET,0.093,100
Mature forest,30-Aug-14,Two,WET,0.085,100
Mature forest,31-Aug-14,Two,WET,0.088,99.994
Open land,01-Jun-14,Two,WET,0.122,72.93
Open land,02-Jun-14,Two,WET,0.12,71.627
Open land,03-Jun-14,Two,WET,0.123,69.187
Open land,04-Jun-14,Two,WET,0.121,67.553
Open land,05-Jun-14,Two,WET,0.13,76.851
Open land,06-Jun-14,Two,WET,0.151,75.579
Open land,07-Jun-14,Two,WET,0.145,76.125
Open land,08-Jun-14,Two,WET,0.147,82.741
Open land,09-Jun-14,Two,WET,0.159,78.779
Open land,10-Jun-14,Two,WET,0.165,76.196
Open land,11-Jun-14,Two,WET,0.161,78.758
Open land,12-Jun-14,Two,WET,0.171,81.844
Open land,13-Jun-14,Two,WET,0.173,81.73
Open land,14-Jun-14,Two,WET,0.18,84.041
Open land,15-Jun-14,Two,WET,0.17,80.788
Open land,16-Jun-14,Two,WET,0.167,79.694
Open land,17-Jun-14,Two,WET,0.161,77.34
Open land,18-Jun-14,Two,WET,0.164,81.775
Open land,19-Jun-14,Two,WET,0.172,78.021
Open land,20-Jun-14,Two,WET,0.178,74.986
Open land,21-Jun-14,Two,WET,0.193,72.665
Open land,22-Jun-14,Two,WET,0.191,71.263
Open land,23-Jun-14,Two,WET,0.219,71.826
Open land,24-Jun-14,Two,WET,0.218,79.1
Open land,25-Jun-14,Two,WET,0.213,77.621
Open land,26-Jun-14,Two,WET,0.216,77.421
Open land,27-Jun-14,Two,WET,0.207,71.132
Open land,28-Jun-14,Two,WET,0.197,68.335
Open land,29-Jun-14,Two,WET,0.206,78.798
Open land,30-Jun-14,Two,WET,0.239,82.876
Open land,01-Jul-14,Two,WET,0.221,77.205
Open land,02-Jul-14,Two,WET,0.213,79.392
Open land,03-Jul-14,Two,WET,0.211,79.223
Open land,04-Jul-14,Two,WET,0.232,76.557
Open land,05-Jul-14,Two,WET,0.216,75
Open land,06-Jul-14,Two,WET,0.211,77.006
Open land,07-Jul-14,Two,WET,0.237,79.7
Open land,08-Jul-14,Two,WET,0.237,83.246
Open land,09-Jul-14,Two,WET,0.235,80.028
Open land,10-Jul-14,Two,WET,0.233,75.232
Open land,11-Jul-14,Two,WET,0.228,75.299
Open land,12-Jul-14,Two,WET,0.234,81.801
Open land,13-Jul-14,Two,WET,0.23,77.404
Open land,14-Jul-14,Two,WET,0.235,78.265
Open land,15-Jul-14,Two,WET,0.232,77.784
Open land,16-Jul-14,Two,WET,0.219,78.457
Open land,17-Jul-14,Two,WET,0.219,76.379
Open land,18-Jul-14,Two,WET,0.228,80.752
Open land,19-Jul-14,Two,WET,0.246,81.394
Open land,20-Jul-14,Two,WET,0.237,81.349
Open land,21-Jul-14,Two,WET,0.25,83.543
Open land,22-Jul-14,Two,WET,0.245,81.59
Open land,23-Jul-14,Two,WET,0.237,80.135
Open land,24-Jul-14,Two,WET,0.239,76.679
Open land,25-Jul-14,Two,WET,0.239,80.443
Open land,26-Jul-14,Two,WET,0.237,77.814
Open land,27-Jul-14,Two,WET,0.244,82.104
Open land,28-Jul-14,Two,WET,0.243,80.927
Open land,29-Jul-14,Two,WET,0.232,76.083
Open land,30-Jul-14,Two,WET,0.249,80.326
Open land,31-Jul-14,Two,WET,0.232,78.208
Open land,01-Aug-14,Two,WET,0.231,74.015
Open land,02-Aug-14,Two,WET,0.25,80.645
Open land,03-Aug-14,Two,WET,0.254,81.072
Open land,04-Aug-14,Two,WET,0.248,79.306
Open land,05-Aug-14,Two,WET,0.238,77.006
Open land,06-Aug-14,Two,WET,0.242,80.096
Open land,07-Aug-14,Two,WET,0.243,81.075
Open land,08-Aug-14,Two,WET,0.249,78.98
Open land,09-Aug-14,Two,WET,0.238,78.652
Open land,10-Aug-14,Two,WET,0.247,81.643
Open land,11-Aug-14,Two,WET,0.244,80.256
Open land,12-Aug-14,Two,WET,0.235,78.593
Open land,13-Aug-14,Two,WET,0.245,83.632
Open land,14-Aug-14,Two,WET,0.245,83.919
Open land,15-Aug-14,Two,WET,0.242,83.093
Open land,16-Aug-14,Two,WET,0.249,82.103
Open land,17-Aug-14,Two,WET,0.238,78.624
Open land,18-Aug-14,Two,WET,0.235,78.401
Open land,19-Aug-14,Two,WET,0.244,81.889
Open land,20-Aug-14,Two,WET,0.245,82.875
Open land,21-Aug-14,Two,WET,0.252,79.89
Open land,22-Aug-14,Two,WET,0.244,77.636
Open land,23-Aug-14,Two,WET,0.229,77.494
Open land,24-Aug-14,Two,WET,0.234,76.865
Open land,25-Aug-14,Two,WET,0.244,79.374
Open land,26-Aug-14,Two,WET,0.246,79.333
Open land,27-Aug-14,Two,WET,0.243,77.017
Open land,28-Aug-14,Two,WET,0.233,74.331
Open land,29-Aug-14,Two,WET,0.243,81.838
Open land,30-Aug-14,Two,WET,0.239,80.101
Open land,31-Aug-14,Two,WET,0.243,76.076
Regenerating forest,01-Jun-14,Two,WET,0.172,79.855
Regenerating forest,02-Jun-14,Two,WET,0.17,80.347
Regenerating forest,03-Jun-14,Two,WET,0.176,77.216
Regenerating forest,04-Jun-14,Two,WET,0.175,74.683
Regenerating forest,05-Jun-14,Two,WET,0.184,85.595
Regenerating forest,06-Jun-14,Two,WET,0.193,84.077
Regenerating forest,07-Jun-14,Two,WET,0.188,84.728
Regenerating forest,08-Jun-14,Two,WET,0.187,91.515
Regenerating forest,09-Jun-14,Two,WET,0.198,89.898
Regenerating forest,10-Jun-14,Two,WET,0.205,87.931
Regenerating forest,11-Jun-14,Two,WET,0.199,88.564
Regenerating forest,12-Jun-14,Two,WET,0.213,93.956
Regenerating forest,13-Jun-14,Two,WET,0.215,93.727
Regenerating forest,14-Jun-14,Two,WET,0.225,96.482
Regenerating forest,15-Jun-14,Two,WET,0.204,90.748
Regenerating forest,16-Jun-14,Two,WET,0.198,89.976
Regenerating forest,17-Jun-14,Two,WET,0.194,86.428
Regenerating forest,18-Jun-14,Two,WET,0.199,93.388
Regenerating forest,19-Jun-14,Two,WET,0.206,89.563
Regenerating forest,20-Jun-14,Two,WET,0.194,85.573
Regenerating forest,21-Jun-14,Two,WET,0.187,83.43
Regenerating forest,22-Jun-14,Two,WET,0.186,82.248
Regenerating forest,23-Jun-14,Two,WET,0.204,83.468
Regenerating forest,24-Jun-14,Two,WET,0.199,90.414
Regenerating forest,25-Jun-14,Two,WET,0.196,87.053
Regenerating forest,26-Jun-14,Two,WET,0.201,88.368
Regenerating forest,27-Jun-14,Two,WET,0.193,81.893
Regenerating forest,28-Jun-14,Two,WET,0.186,79.319
Regenerating forest,29-Jun-14,Two,WET,0.189,90.661
Regenerating forest,30-Jun-14,Two,WET,0.224,96.508
Regenerating forest,01-Jul-14,Two,WET,0.202,88.642
Regenerating forest,02-Jul-14,Two,WET,0.195,89.671
Regenerating forest,03-Jul-14,Two,WET,0.194,90.754
Regenerating forest,04-Jul-14,Two,WET,0.215,88.071
Regenerating forest,05-Jul-14,Two,WET,0.198,85.268
Regenerating forest,06-Jul-14,Two,WET,0.194,88.829
